,reviews-v3-546ff94d8c-v7rhg:cluster.inbound|9080|http|reviews.default.svc.cluster.local.upstream_rq_time_P95,reviews-v3-546ff94d8c-v7rhg:cluster.outbound|9080||ratings.default.svc.cluster.local.upstream_rq_time_P95,reviews-v2-7678cf597-xhjc5:cluster.inbound|9080|http|reviews.default.svc.cluster.local.upstream_rq_time_P95,reviews-v2-7678cf597-xhjc5:cluster.outbound|9080||ratings.default.svc.cluster.local.upstream_rq_time_P95,reviews-v1-5df856fc47-5mgfz:cluster.inbound|9080|http|reviews.default.svc.cluster.local.upstream_rq_time_P95,details-v1-d885f8487-w5zqv:cluster.inbound|9080|http|details.default.svc.cluster.local.upstream_rq_time_P95,ratings-v1-794f554859-zzvp5:cluster.inbound|9080|http|ratings.default.svc.cluster.local.upstream_rq_time_P95,productpage-v1-6cc647db65-f772m:cluster.inbound|9080|http|productpage.default.svc.cluster.local.internal.upstream_rq_time_P95,productpage-v1-6cc647db65-f772m:cluster.inbound|9080|http|productpage.default.svc.cluster.local.upstream_rq_time_P95,productpage-v1-6cc647db65-f772m:cluster.outbound|9080||details.default.svc.cluster.local.upstream_rq_time_P95,productpage-v1-6cc647db65-f772m:cluster.outbound|9080||reviews.default.svc.cluster.local.upstream_rq_time_P95
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,2.0,2.0,0.0,0.0,0.0,1.0,0.0,3.0,3.0,2.0,2.0
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,3.0,2.0,0.0,0.0,9.0,0.0,0.0,5.0,5.0,2.0,3.0
29,2.0,1.0,1.0,1.0,1.0,4.0,0.0,3.0,3.0,1.0,1.0
30,2.0,1.0,2.0,1.0,1.0,1.0,0.0,3.0,3.0,1.0,2.0
31,2.0,2.0,3.0,1.0,1.0,1.0,0.0,4.0,4.0,7.0,2.0
32,2.0,1.0,2.0,3.0,1.0,4.0,0.0,6.0,6.0,4.0,2.0
33,2.0,1.0,2.0,1.0,1.0,4.0,0.0,6.0,6.0,4.0,1.0
34,2.0,1.0,1.0,1.0,1.0,4.0,0.0,2.0,2.0,1.0,1.0
35,2.0,1.0,2.0,1.0,1.0,1.0,0.0,7.0,7.0,4.0,1.0
36,1.0,1.0,1.0,1.0,1.0,4.0,0.0,6.0,6.0,4.0,1.0
37,2.0,2.0,2.0,2.0,1.0,4.0,1.0,6.0,6.0,4.0,1.0
38,1.0,1.0,1.0,2.0,1.0,4.0,0.0,2.0,2.0,1.0,1.0
39,1.0,1.0,1.0,1.0,9.0,1.0,0.0,2.0,2.0,1.0,1.0
40,1.0,1.0,2.0,1.0,1.0,4.0,0.0,6.0,6.0,4.0,1.0
41,1.0,1.0,1.0,1.0,9.0,1.0,0.0,6.0,6.0,4.0,1.0
42,1.0,1.0,1.0,1.0,8.0,4.0,0.0,6.0,6.0,4.0,1.0
43,1.0,1.0,1.0,1.0,8.0,4.0,0.0,2.0,2.0,1.0,1.0
44,2.0,1.0,2.0,3.0,1.0,1.0,0.0,3.0,3.0,2.0,2.0
45,1.0,1.0,1.0,1.0,8.0,4.0,1.0,6.0,6.0,4.0,1.0
46,1.0,2.0,2.0,1.0,1.0,4.0,0.0,6.0,6.0,4.0,1.0
47,1.0,1.0,2.0,1.0,9.0,4.0,0.0,3.0,3.0,1.0,2.0
48,1.0,1.0,1.0,1.0,1.0,1.0,0.0,6.0,6.0,4.0,1.0
49,1.0,1.0,2.0,1.0,1.0,4.0,0.0,6.0,6.0,4.0,1.0
50,1.0,1.0,1.0,1.0,8.0,1.0,0.0,6.0,6.0,4.0,1.0
51,1.0,1.0,1.0,1.0,1.0,4.0,0.0,6.0,6.0,4.0,1.0
52,1.0,1.0,1.0,1.0,8.0,4.0,0.0,2.0,2.0,1.0,1.0
53,1.0,1.0,1.0,1.0,1.0,4.0,0.0,6.0,6.0,4.0,1.0
54,1.0,1.0,1.0,1.0,8.0,1.0,0.0,6.0,6.0,4.0,1.0
55,1.0,2.0,1.0,1.0,1.0,1.0,0.0,6.0,6.0,4.0,1.0
56,2.0,3.0,1.0,1.0,9.0,4.0,1.0,2.0,2.0,1.0,1.0
57,1.0,1.0,1.0,1.0,9.0,4.0,0.0,6.0,6.0,4.0,1.0
58,1.0,1.0,2.0,1.0,9.0,4.0,0.0,2.0,2.0,1.0,1.0
59,2.0,1.0,1.0,1.0,7.0,1.0,0.0,6.0,6.0,4.0,1.0
60,1.0,1.0,1.0,1.0,1.0,4.0,0.0,6.0,6.0,4.0,1.0
61,1.0,1.0,2.0,5.0,1.0,4.0,0.0,6.0,6.0,4.0,2.0
62,1.0,4.0,1.0,1.0,8.0,4.0,1.0,6.0,6.0,4.0,1.0
63,1.0,1.0,1.0,1.0,7.0,1.0,0.0,2.0,2.0,1.0,1.0
64,1.0,1.0,1.0,1.0,1.0,1.0,0.0,6.0,6.0,4.0,1.0
65,1.0,1.0,1.0,1.0,1.0,4.0,0.0,5.0,5.0,4.0,1.0
66,1.0,1.0,2.0,1.0,8.0,4.0,0.0,6.0,6.0,4.0,1.0
67,1.0,1.0,2.0,1.0,7.0,4.0,0.0,2.0,2.0,1.0,1.0
68,1.0,1.0,1.0,1.0,8.0,1.0,0.0,6.0,6.0,4.0,1.0
69,1.0,2.0,2.0,1.0,1.0,4.0,0.0,6.0,6.0,4.0,1.0
70,1.0,1.0,1.0,1.0,1.0,1.0,0.0,6.0,6.0,4.0,1.0
71,1.0,1.0,1.0,1.0,9.0,4.0,1.0,6.0,6.0,4.0,1.0
72,1.0,1.0,1.0,1.0,7.0,4.0,0.0,2.0,2.0,1.0,1.0
73,1.0,1.0,1.0,1.0,8.0,4.0,0.0,6.0,6.0,4.0,1.0
74,1.0,1.0,1.0,2.0,7.0,4.0,1.0,6.0,6.0,4.0,1.0
75,1.0,1.0,1.0,1.0,7.0,1.0,0.0,6.0,6.0,4.0,1.0
76,2.0,1.0,1.0,1.0,1.0,4.0,0.0,6.0,6.0,4.0,1.0
77,3.0,1.0,1.0,1.0,2.0,4.0,0.0,6.0,6.0,4.0,1.0
78,1.0,1.0,1.0,1.0,7.0,4.0,0.0,6.0,6.0,4.0,1.0
79,1.0,1.0,1.0,1.0,7.0,1.0,0.0,2.0,2.0,1.0,1.0
80,1.0,2.0,1.0,1.0,9.0,4.0,0.0,6.0,6.0,4.0,1.0
81,1.0,1.0,1.0,1.0,1.0,4.0,0.0,6.0,6.0,4.0,1.0
82,1.0,1.0,1.0,1.0,1.0,4.0,0.0,6.0,6.0,4.0,1.0
83,1.0,1.0,1.0,1.0,1.0,4.0,1.0,2.0,2.0,2.0,1.0
84,1.0,1.0,1.0,1.0,8.0,1.0,0.0,6.0,6.0,4.0,1.0
85,1.0,1.0,1.0,1.0,8.0,4.0,0.0,6.0,6.0,4.0,1.0
